images,Currency,Image url,Max Price,Min Price,Number of sold items,Price,Product Details Url,Rating score,Shipping cost,Store name,Store url,Product Title,,categories
https://ae01.alicdn.com/kf/Sce2e050e35614116ac94fe1adc20db71K/Wired-Headphones-Gaming-Earphones-with-Microphone-Stereo-Bass-Gamer-Earphones-Sports-Haedset-For-Mobile-Phone-Computer.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/Sce2e050e35614116ac94fe1adc20db71K/Wired-Headphones-Gaming-Earphones-with-Microphone-Stereo-Bass-Gamer-Earphones-Sports-Haedset-For-Mobile-Phone-Computer.jpg_220x220xz.jpg, ,46.02,357 vendu(s),MAD 46.02,fr.aliexpress.com/item/1005003654357240.html,4.8, ,Shop911610185 Store,//fr.aliexpress.com/store/911610185,Écouteurs de jeu filaires avec Microphone. oreillettes de sport. basse stéréo. pour téléphone portable. ordinateur,,�couteurs et casques
https://ae01.alicdn.com/kf/S9d038627c04b4c209a6031867632b0ac3/TWS-Earphones-Wireless-Bluetooth-Headphone-V5-0-3000mAh-Charging-Box-9D-HiFi-Stereo-Sports-Waterproof-Earbuds.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/S9d038627c04b4c209a6031867632b0ac3/TWS-Earphones-Wireless-Bluetooth-Headphone-V5-0-3000mAh-Charging-Box-9D-HiFi-Stereo-Sports-Waterproof-Earbuds.jpg_220x220xz.jpg, ,72.82,4948 vendu(s),MAD 72.82,fr.aliexpress.com/item/1005003579537527.html,4.5, ,Upmarket Earphone Store,//fr.aliexpress.com/store/3081052,Écouteurs sans fil Bluetooth V5.0 TWS. oreillettes étanches avec boîte de charge 3000mAh 9D HiFi stéréo pour sport,,�couteurs et casques
https://ae01.alicdn.com/kf/S31aae79a754c499eb4dc791fea52d4ef1/TWS-Pro4-Bluetooth-Earphones-Wireless-Headphones-Mini-Sports-Headset-Earbuds-Music-Earpieces-For-iPhone-Xiaomi-Huawei.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/S31aae79a754c499eb4dc791fea52d4ef1/TWS-Pro4-Bluetooth-Earphones-Wireless-Headphones-Mini-Sports-Headset-Earbuds-Music-Earpieces-For-iPhone-Xiaomi-Huawei.jpg_220x220xz.jpg, ,54.59,2357 vendu(s),MAD 54.59,fr.aliexpress.com/item/1005003077412570.html,4.6, ,Shop5507087 Store,//fr.aliexpress.com/store/5507087,Écouteurs sans fil Bluetooth TWS Pro4. Mini casque de sport. oreillettes de musique. pour iPhone Xiaomi Huawei Redmi,,�couteurs et casques
https://ae01.alicdn.com/kf/H83239a0a334745f2943a8bc7f80ba211V/Subwoofer-Wired-Gaming-Headset-Hifi-Sound-Quality-Foldable-Portable-3-5mm-Plug-Suitable-For-Pc-Game.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/H83239a0a334745f2943a8bc7f80ba211V/Subwoofer-Wired-Gaming-Headset-Hifi-Sound-Quality-Foldable-Portable-3-5mm-Plug-Suitable-For-Pc-Game.jpg_220x220xz.jpg, ,44.43,1327 vendu(s),MAD 44.43,fr.aliexpress.com/item/1005001620104806.html,4.4, ,BL Global Dropshipping Store,//fr.aliexpress.com/store/910792008,Casque de jeu filaire Hifi avec caisson de basses. qualité sonore. pliable. Portable. prise 3.5mm. adapté aux Pc et à la réception de jeux sur tous les Smartphones,,�couteurs et casques
https://ae01.alicdn.com/kf/Sd5aba019d96043e9a80e958e61e68e29Z/pro3-TWS-Wireless-Headphones-5-0-Bluetooth-Earphones-Sports-Earbuds-Waterproof-Earphones-for-Iphone-Huawei-Xiaomi.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/Sd5aba019d96043e9a80e958e61e68e29Z/pro3-TWS-Wireless-Headphones-5-0-Bluetooth-Earphones-Sports-Earbuds-Waterproof-Earphones-for-Iphone-Huawei-Xiaomi.jpg_220x220xz.jpg, ,55.99,1048 vendu(s),MAD 55.99,fr.aliexpress.com/item/1005004021988410.html,4.9, ,Big Lion Store,//fr.aliexpress.com/store/1100025019,Pro3 – écouteurs sans fil Bluetooth 5.0 TWS. oreillettes de sport. étanches. pour Smartphones Iphone Huawei Xiaomi,,�couteurs et casques
https://ae01.alicdn.com/kf/Sbe603515735c48a297477173f2a5badaM/A6Lite-TWS-Bluetooth-Earphones-Wireless-Headphones-In-Ear-Earbuds-With-Mic-HD-Call-Sports-Headset-For.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/Sbe603515735c48a297477173f2a5badaM/A6Lite-TWS-Bluetooth-Earphones-Wireless-Headphones-In-Ear-Earbuds-With-Mic-HD-Call-Sports-Headset-For.jpg_220x220xz.jpg, ,7.17,32 vendu(s),MAD 7.17,fr.aliexpress.com/item/1005003904233042.html,5, ,Shop1100148483 Store,//fr.aliexpress.com/store/1100148483,Écouteurs sans fil Bluetooth A6Lite TWS. oreillettes avec micro. appel HD. casque de sport pour Smartphones iPhone Xiaomi,,�couteurs et casques
https://ae01.alicdn.com/kf/S7f1077c972a7478e9c3b1e65b55d3069l/2021-Invisible-Ture-Wireless-Earphone-Noise-Cancelling-Bluetooth-Headphone-Handsfree-Stereo-Headset-TWS-Earbud-With-Microphone.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/S7f1077c972a7478e9c3b1e65b55d3069l/2021-Invisible-Ture-Wireless-Earphone-Noise-Cancelling-Bluetooth-Headphone-Handsfree-Stereo-Headset-TWS-Earbud-With-Microphone.jpg_220x220xz.jpg, ,39.35,1746 vendu(s),MAD 39.35,fr.aliexpress.com/item/1005002631520379.html,4.3, ,wo de dian Store,//fr.aliexpress.com/store/911965068,Écouteurs sans fil Bluetooth TWS. casque d'écoute Invisible. mains libres. avec Microphone. 2021,,�couteurs et casques
https://ae01.alicdn.com/kf/Hc7e2323e702e46a3baea0dba0ead8276e/2021-Earphones-Wired-In-Ear-3-5mm-For-Computer-Phone-Samsung-Xiaomi-Earbuds-Dual-Drive-Stereo.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/Hc7e2323e702e46a3baea0dba0ead8276e/2021-Earphones-Wired-In-Ear-3-5mm-For-Computer-Phone-Samsung-Xiaomi-Earbuds-Dual-Drive-Stereo.jpg_220x220xz.jpg, ,0.1,1098 vendu(s),MAD 0.10,fr.aliexpress.com/item/1005003495941148.html,4.5, ,SGBEP Official Store,//fr.aliexpress.com/store/5409012,Écouteurs filaires intra-auriculaires 2021mm. pour téléphone d'ordinateur. Samsung. Xiaomi. oreillettes à double entraînement. stéréo. casque de Sport. musique. mains libres. 3.5,,�couteurs et casques
https://ae01.alicdn.com/kf/S527dfb4fb7f340ad9d79bb8426fa2220G/Magnetic-Wireless-Bluetooth-Earphones-XT11-Music-Headset-Phone-Neckband-Sport-Earbuds-Earphone-with-Mic-For-iPhone.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/S527dfb4fb7f340ad9d79bb8426fa2220G/Magnetic-Wireless-Bluetooth-Earphones-XT11-Music-Headset-Phone-Neckband-Sport-Earbuds-Earphone-with-Mic-For-iPhone.jpg_220x220xz.jpg, ,36.76,846 vendu(s),MAD 36.76,fr.aliexpress.com/item/1005003573800437.html,4.6, ,Minor Part Store,//fr.aliexpress.com/store/911911126,Écouteurs magnétiques sans fil bluetooth. casque musical. de téléphone. bandeau d'oreillettes de sport. avec microphone. pour iPhone samsung xiaomi. XT11,,�couteurs et casques
https://ae01.alicdn.com/kf/S4fe83e8f97fd4859beef83e174ec1c5cj/AIRVOLT-Y50-TWS-Wireless-Headphones-for-Smartphone-Bluetooth-Earphone-Stereo-Headset-Samsung-Sport-Earbuds-Microphone-iPhone.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/S4fe83e8f97fd4859beef83e174ec1c5cj/AIRVOLT-Y50-TWS-Wireless-Headphones-for-Smartphone-Bluetooth-Earphone-Stereo-Headset-Samsung-Sport-Earbuds-Microphone-iPhone.jpg_220x220xz.jpg, ,49.71,1121 vendu(s),MAD 49.71,fr.aliexpress.com/item/1005003382756336.html,4.6, ,AIRVOLT Official Store,//fr.aliexpress.com/store/910565119,Écouteurs sans fil Bluetooth Y50 TWS. pour Smartphone. oreillettes stéréo. Samsung Sport. Microphone. iPhone,,�couteurs et casques
